method=GET, uri=/users, status=404
method=GET, uri=/users, status=404
method=GET, uri=/user, status=404
method=GET, uri=/user, status=404
method=GET, uri=/users, status=404
method=POST, uri=/mapel, status=404
method=POST, uri=/users, status=404
method=POST, uri=/users, status=404
method=POST, uri=/users, status=404
method=GET, uri=/users, status=404
method=GET, uri=/users, status=404
method=GET, uri=/users, status=400
method=POST, uri=/users, status=400
method=POST, uri=/register, status=200
method=GET, uri=/login, status=405
method=POST, uri=/login, status=200
method=GET, uri=/users, status=400
method=GET, uri=/users, status=400
method=GET, uri=/users/1, status=404
method=GET, uri=/boards, status=500
method=POST, uri=/boards, status=201
method=GET, uri=/boards, status=500
method=PUT, uri=/users, status=404
method=GET, uri=/users, status=400
method=GET, uri=/users, status=400
method=GET, uri=/users, status=400
method=GET, uri=/users, status=400
method=GET, uri=/users, status=401
method=POST, uri=/login, status=200
method=GET, uri=/users, status=200
method=POST, uri=/login, status=200
method=GET, uri=/users, status=200
method=POST, uri=/task, status=404
method=GET, uri=/task, status=404
method=POST, uri=/tasks, status=400
method=POST, uri=/login, status=200
method=POST, uri=/tasks, status=200
method=GET, uri=/users, status=200
method=GET, uri=/users, status=400
method=GET, uri=/users, status=400
method=GET, uri=/boards, status=400
method=POST, uri=/login, status=200
method=GET, uri=/boards, status=400
method=GET, uri=/boards, status=400
method=GET, uri=/users, status=400
method=GET, uri=/tasks, status=200
method=POST, uri=/tasks/1, status=404
method=POST, uri=/tasks/1, status=404
method=GET, uri=/tasks/1, status=200
method=GET, uri=/tasks/1, status=200
method=GET, uri=/tasks, status=200
method=GET, uri=/tasks/1, status=200
method=GET, uri=/users, status=400
method=GET, uri=/users, status=400
method=GET, uri=/users, status=400
method=GET, uri=/users, status=401
method=POST, uri=/login, status=200
method=GET, uri=/users, status=400
method=GET, uri=/users, status=200
method=GET, uri=/tasks, status=200
method=POST, uri=/login, status=200
method=GET, uri=/users/1, status=200
method=GET, uri=/users, status=401
method=GET, uri=/users, status=200
method=GET, uri=/users, status=200
method=POST, uri=/boards, status=401
method=POST, uri=/login, status=200
method=POST, uri=/boards, status=400
method=POST, uri=/register, status=404
method=POST, uri=/register, status=404
method=POST, uri=/register, status=404
method=POST, uri=/register, status=200
method=POST, uri=/login, status=200
method=GET, uri=/users, status=200
method=GET, uri=/users/1, status=200
method=POST, uri=/boards, status=200
method=PUT, uri=/boards, status=404
method=PUT, uri=/boards/3, status=200
method=GET, uri=/boards/3, status=400
method=GET, uri=/boards/3, status=400
method=GET, uri=/boards, status=400
method=GET, uri=/boards, status=200
method=GET, uri=/boards/3, status=400
method=GET, uri=/boards/2, status=400
method=GET, uri=/boards/3, status=200
method=POST, uri=/tasks, status=401
method=POST, uri=/tasks, status=200
method=GET, uri=/users/2, status=200
